Date,Item,Grams,Fat,Carbs,Protein,Calories
3/2/21,Blueberries,74,,,,
3/2/21,Kale,34,,,,
3/2/21,Almond butter,32,,,,
3/2/21,Almond milk,409,,,,
3/2/21,Ground turkey 93%,114,,,,
3/2/21,Provel cheese,19,,,,
3/2/21,Green Giant Broccoli & Cheese,106,,,,
3/2/21,Onion,28,,,,
3/2/21,Wagu jerky,23,,,,
3/2/21,Peanuts,28,,,,
3/2/21,Blueberries,74,,,,
3/2/21,Kale,34,,,,
3/2/21,Almond butter,32,,,,
3/2/21,Almond milk,409,,,,
3/3/21,Large egg,100,,,,
3/3/21,Turkey bacon,30,,,,
3/3/21,Butter,7,,,,
3/3/21,Ground turkey 93%,114,,,,
3/3/21,Provel cheese,19,,,,
3/3/21,Green Giant Broccoli & Cheese,106,,,,
3/3/21,Pickle,28,,,,
3/3/21,Lillie's Carolina BBQ sauce zero sugar,32,,,,
3/3/21,Wagu jerky,46,,,,
3/3/21,Peanuts,56,,,,
3/3/21,Large egg,100,,,,
3/3/21,Turkey bacon,30,,,,
3/3/21,Pistachios,28,,,,
3/3/21,Butter,7,,,,
3/3/21,Coffeemate creamer,44,,,,
3/4/21,Green beans,80,,,,
3/4/21,Ground turkey 93%,114,,,,
3/4/21,Provel cheese,19,,,,
3/4/21,Cheddar cheese,28,,,,
3/4/21,Green Giant Mashed Cauliflour bacon+cheese,120,,,,
3/4/21,Coffeemate creamer,44,,,,
3/4/21,Pistachios,28,,,,
3/4/21,IQ bar almond butter,45,,,,
3/4/21,Green Giant Mashed Cauliflour bacon+cheese,120,,,,
3/4/21,Green Giant Mashed Cauliflour bacon+cheese,120,,,,
3/4/21,Turkey bacon,45,,,,
3/4/21,Butter,7,,,,
3/4/21,Large egg,100,,,,
3/4/21,Turkey bacon,30,,,,
3/4/21,Wagu jerky,23,,,,
3/5/21,Turkey bacon,45,,,,
3/5/21,Large egg,100,,,,
3/5/21,Butter,7,,,,
3/5/21,Almond milk,102,,,,
3/5/21,Almond milk,320,,,,
3/5/21,Kale,85,,,,
3/5/21,Blueberries,50,,,,
3/5/21,Almond butter,32,,,,
3/5/21,Provel cheese,19,,,,
3/5/21,Mozzarella cheese,28,,,,
3/5/21,Parmesan cheese,15,,,,
3/5/21,Eggplant,100,,,,
3/5/21,Victoria's marinara sauce,113,,,,
3/5/21,Pork steak,170,,,,
3/5/21,Cole slaw mix dry,85,,,,
3/5/21,Avocado mayo,28,,,,
3/5/21,Gatorade zero,567,,,,
3/5/21,Gatorade zero,567,,,,
3/5/21,Gatorade zero,567,,,,
3/5/21,Turkey bacon,30,,,,
3/5/21,Celery,40,,,,
3/5/21,Jack's medium salsa,100,,,,
3/5/21,Lillie's Carolina BBQ sauce zero sugar,32,,,,
3/6/21,Gatorade zero,567,,,,
3/6/21,Coffeemate creamer,44,,,,
3/6/21,Coffee,20,,,,
3/6/21,Turkey bacon,45,,,,
3/6/21,Large egg,100,,,,
3/6/21,Butter,7,,,,
3/6/21,IQ bar peanut butter,45,,,,
3/6/21,Green beans,126,,,,
3/6/21,Cole slaw mix dry,85,,,,
3/6/21,Avocado mayo,28,,,,
3/6/21,Lillie's Carolina BBQ sauce zero sugar,32,,,,
3/6/21,Pork steak,104,,,,
3/6/21,Pork steak,254,,,,
3/6/21,Peanuts,49,,,,
3/6/21,Cream cheese,62,,,,
3/6/21,Celery,74,,,,
3/6/21,Cream cheese,30,,,,
3/6/21,Peanuts,49,,,,
3/6/21,Pork rinds,14,,,,
3/6/21,Large egg,100,,,,
3/7/21,Large egg,100,,,,
3/7/21,Peanuts,22,,,,
3/7/21,Carrots,62,,,,
3/7/21,Eggplant,73,,,,
3/7/21,Turkey sausage,170,,,,
3/7/21,Mushrooms,100,,,,
3/7/21,Gatorade zero,567,,,,
3/7/21,Onion,28,,,,
3/7/21,Victoria's marinara sauce,80,,,,
3/7/21,Iceberg lettuce,50,,,,
3/7/21,Low sodium soy sauce,30,,,,
3/7/21,Coffeemate creamer,33,,,,
3/7/21,Coffee,20,,,,
3/7/21,Large egg,100,,,,
3/7/21,Turkey bacon,45,,,,
3/7/21,Pork rinds,14,,,,
3/7/21,Pork rinds,14,,,,
3/7/21,Wagu jerky,46,,,,
3/7/21,Pork rinds,14,,,,
3/7/21,Almond butter,32,,,,
3/7/21,Almond butter,32,,,,
3/7/21,Coffeemate creamer,22,,,,
3/8/21,Chicken Stracciatella,300,,,,
3/8/21,Chicken Stracciatella,200,,,,
3/8/21,Coffeemate creamer,44,,,,
3/8/21,Coffee,20,,,,
3/8/21,Wagu jerky,23,,,,
